id,key,value,type
151440228,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151440228,ST_alpha,LA,gnis
151440228,County_num,105,gnis
151466970,ele,3,regular
151466970,name,Hope,regular
151466970,is_in,"St. John the Baptist,Louisiana,La.,LA,USA",regular
151466970,place,hamlet,regular
151466970,id,1629312,gnis
151466970,Class,Populated Place,gnis
151466970,County,St. John the Baptist,gnis
151466970,ST_num,22,gnis
151466970,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151466970,ST_alpha,LA,gnis
151466970,County_num,095,gnis
151503465,ele,4,regular
151503465,name,Tigerville,regular
151503465,is_in,"St. John the Baptist,Louisiana,La.,LA,USA",regular
151503465,place,hamlet,regular
151503465,id,1628368,gnis
151503465,Class,Populated Place,gnis
151503465,County,St. John the Baptist,gnis
151503465,ST_num,22,gnis
151503465,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151503465,ST_alpha,LA,gnis
151503465,County_num,095,gnis
151529556,ele,3,regular
151529556,name,Saint Rose,regular
151529556,is_in,"St. Charles,Louisiana,La.,LA,USA",regular
151529556,place,hamlet,regular
151529556,id,1628154,gnis
151529556,Class,Populated Place,gnis
151529556,County,St. Charles,gnis
151529556,ST_num,22,gnis
151529556,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151529556,ST_alpha,LA,gnis
151529556,County_num,089,gnis
151571321,ele,2,regular
151571321,name,Star,regular
151571321,is_in,"Plaquemines,Louisiana,La.,LA,USA",regular
151571321,place,hamlet,regular
151571321,id,558715,gnis
151571321,Class,Populated Place,gnis
151571321,County,Plaquemines,gnis
151571321,ST_num,22,gnis
151571321,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151571321,ST_alpha,LA,gnis
151571321,County_num,075,gnis
151609808,population,16285;2006,census
151609808,ele,0,regular
151609808,Class,Populated Place,gnis
151609808,County,Jefferson,gnis
151609808,County_num,051,gnis
151609808,id,1629954,gnis
151609808,ST_alpha,LA,gnis
151609808,ST_num,22,gnis
151609808,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151609808,is_in,"Jefferson,Louisiana,La.,LA,USA",regular
151609808,name,Gretna,regular
151609808,place,town,regular
151609808,population,16285,regular
151609808,wikidata,Q748191,regular
151609808,wikipedia,"en:Gretna, Louisiana",regular
151643697,ele,2,regular
151643697,name,Montegut,regular
151643697,is_in,"Terrebonne,Louisiana,La.,LA,USA",regular
151643697,place,hamlet,regular
151643697,id,555352,gnis
151643697,Class,Populated Place,gnis
151643697,County,Terrebonne,gnis
151643697,ST_num,22,gnis
151643697,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151643697,ST_alpha,LA,gnis
151643697,County_num,109,gnis
151675999,ele,1,regular
151675999,name,Lockport Heights,regular
151675999,is_in,"Lafourche,Louisiana,La.,LA,USA",regular
151675999,place,hamlet,regular
151675999,id,543408,gnis
151675999,Class,Populated Place,gnis
151675999,County,Lafourche,gnis
151675999,ST_num,22,gnis
151675999,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151675999,ST_alpha,LA,gnis
151675999,County_num,057,gnis
151709614,ele,-1,regular
151709614,name,Place De Concorde,regular
151709614,is_in,"Orleans,Louisiana,La.,LA,USA",regular
151709614,place,hamlet,regular
151709614,id,558880,gnis
151709614,Class,Populated Place,gnis
151709614,County,Orleans,gnis
151709614,ST_num,22,gnis
151709614,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151709614,ST_alpha,LA,gnis
151709614,County_num,071,gnis
151733783,ele,0,regular
151733783,name,Woodmere,regular
151733783,is_in,"Jefferson,Louisiana,La.,LA,USA",regular
151733783,place,hamlet,regular
151733783,id,1852438,gnis
151733783,Class,Populated Place,gnis
151733783,County,Jefferson,gnis
151733783,ST_num,22,gnis
151733783,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151733783,ST_alpha,LA,gnis
151733783,County_num,051,gnis
151767009,ele,10,regular
151767009,name,Lorraine,regular
151767009,is_in,"Tangipahoa,Louisiana,La.,LA,USA",regular
151767009,place,hamlet,regular
151767009,id,541131,gnis
151767009,Class,Populated Place,gnis
151767009,County,Tangipahoa,gnis
151767009,ST_num,22,gnis
151767009,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151767009,ST_alpha,LA,gnis
151767009,County_num,105,gnis
151812887,ele,7,regular
151812887,name,Pumpkin Center,regular
151812887,is_in,"Tangipahoa,Louisiana,La.,LA,USA",regular
151812887,place,hamlet,regular
151812887,id,543603,gnis
151812887,Class,Populated Place,gnis
151812887,County,Tangipahoa,gnis
151812887,ST_num,22,gnis
151812887,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151812887,ST_alpha,LA,gnis
151812887,County_num,105,gnis
151844164,ele,-2,regular
151844164,name,West Lake,regular
151844164,is_in,"Orleans,Louisiana,La.,LA,USA",regular
151844164,place,hamlet,regular
151844164,id,558898,gnis
151844164,Class,Populated Place,gnis
151844164,County,Orleans,gnis
151844164,ST_num,22,gnis
151844164,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151844164,ST_alpha,LA,gnis
151844164,County_num,071,gnis
151879626,ele,3,regular
151879626,name,Carrollwood,regular
151879626,is_in,"St. John the Baptist,Louisiana,La.,LA,USA",regular
151879626,place,hamlet,regular
151879626,id,560366,gnis
151879626,Class,Populated Place,gnis
151879626,County,St. John the Baptist,gnis
151879626,ST_num,22,gnis
151879626,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151879626,ST_alpha,LA,gnis
151879626,County_num,095,gnis
151904714,ele,10,regular
151904714,name,Tilman Park,regular
151904714,is_in,"Tangipahoa,Louisiana,La.,LA,USA",regular
151904714,place,hamlet,regular
151904714,id,549782,gnis
151904714,Class,Populated Place,gnis
151904714,County,Tangipahoa,gnis
151904714,ST_num,22,gnis
151904714,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151904714,ST_alpha,LA,gnis
151904714,County_num,105,gnis
151946717,ele,2,regular
151946717,name,Theriot,regular
151946717,is_in,"Lafourche,Louisiana,La.,LA,USA",regular
151946717,place,hamlet,regular
151946717,id,543722,gnis
151946717,Class,Populated Place,gnis
151946717,County,Lafourche,gnis
151946717,ST_num,22,gnis
151946717,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151946717,ST_alpha,LA,gnis
151946717,County_num,057,gnis
151966297,ele,2,regular
151966297,name,Sarah,regular
151966297,is_in,"Plaquemines,Louisiana,La.,LA,USA",regular
151966297,place,hamlet,regular
151966297,id,539175,gnis
151966297,Class,Populated Place,gnis
151966297,County,Plaquemines,gnis
151966297,ST_num,22,gnis
151966297,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151966297,ST_alpha,LA,gnis
151966297,County_num,075,gnis
153361186,ele,3,regular
153361186,name,Frenchmens Estates,regular
153361186,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153361186,place,hamlet,regular
153361186,id,1628913,gnis
153361186,Class,Populated Place,gnis
153361186,County,St. Tammany,gnis
153361186,ST_num,22,gnis
153361186,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153361186,ST_alpha,LA,gnis
153361186,County_num,103,gnis
153384614,ele,5,regular
153384614,name,Castle Manor,regular
153384614,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153384614,place,hamlet,regular
153384614,id,1628879,gnis
153384614,Class,Populated Place,gnis
153384614,County,St. Tammany,gnis
153384614,ST_num,22,gnis
153384614,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153384614,ST_alpha,LA,gnis
153384614,County_num,103,gnis
153395091,ele,2,regular
153395091,name,Bel Air,regular
153395091,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153395091,place,hamlet,regular
153395091,id,1628861,gnis
153395091,Class,Populated Place,gnis
153395091,County,St. Tammany,gnis
153395091,ST_num,22,gnis
153395091,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153395091,ST_alpha,LA,gnis
153395091,County_num,103,gnis
153412519,ele,2,regular
153412519,name,Toca,regular
153412519,is_in,"St. Bernard,Louisiana,La.,LA,USA",regular
153412519,place,hamlet,regular
153412519,id,1628370,gnis
153412519,Class,Populated Place,gnis
153412519,County,St. Bernard,gnis
153412519,ST_num,22,gnis
153412519,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153412519,ST_alpha,LA,gnis
153412519,County_num,087,gnis
153446512,ele,6,regular
153446512,name,Royal Estates,regular
153446512,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153446512,place,hamlet,regular
153446512,id,1629014,gnis
153446512,Class,Populated Place,gnis
153446512,County,St. Tammany,gnis
153446512,ST_num,22,gnis
153446512,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153446512,ST_alpha,LA,gnis
153446512,County_num,103,gnis
153455034,ele,4,regular
153455034,name,Pass Christian,regular
153455034,is_in,"Harrison,Mississippi,Miss.,MS,USA",regular
153455034,place,village,regular
153455034,id,675482,gnis
153455034,Class,Populated Place,gnis
153455034,population,6861,regular
153455034,County,Harrison,gnis
153455034,ST_num,28,gnis
153455034,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153455034,ST_alpha,MS,gnis
153455034,County_num,047,gnis
153455034,population,6861;2006,census
153469869,ele,2,regular
153469869,name,River Bend,regular
153469869,is_in,"St. Bernard,Louisiana,La.,LA,USA",regular
153469869,place,hamlet,regular
153469869,id,1628059,gnis
153469869,Class,Populated Place,gnis
153469869,County,St. Bernard,gnis
153469869,ST_num,22,gnis
153469869,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153469869,ST_alpha,LA,gnis
153469869,County_num,087,gnis
153490146,ele,4,regular
153490146,name,Pearl Acres,regular
153490146,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153490146,place,hamlet,regular
153490146,id,1628991,gnis
153490146,Class,Populated Place,gnis
153490146,County,St. Tammany,gnis
153490146,ST_num,22,gnis
153490146,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153490146,ST_alpha,LA,gnis
153490146,County_num,103,gnis
153504697,ele,0,regular
153504697,name,Breton,regular
153504697,is_in,"Plaquemines,Louisiana,La.,LA,USA",regular
153504697,place,hamlet,regular
153504697,id,541056,gnis
153504697,Class,Populated Place,gnis
153504697,County,Plaquemines,gnis
153504697,ST_num,22,gnis
153504697,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153504697,ST_alpha,LA,gnis
153504697,County_num,075,gnis
153519073,ele,2,regular
153519073,name,Oakwood,regular
153519073,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153519073,place,hamlet,regular
153519073,id,1628986,gnis
153519073,Class,Populated Place,gnis
153519073,County,St. Tammany,gnis
153519073,ST_num,22,gnis
153519073,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153519073,ST_alpha,LA,gnis
153519073,County_num,103,gnis
153528924,ele,0,regular
153528924,name,Chalmette Vista,regular
153528924,is_in,"St. Bernard,Louisiana,La.,LA,USA",regular
153528924,place,hamlet,regular
153528924,id,560394,gnis
153528924,Class,Populated Place,gnis
153528924,County,St. Bernard,gnis
153528924,ST_num,22,gnis
153528924,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153528924,ST_alpha,LA,gnis
153528924,County_num,087,gnis
153542097,ele,-1,regular
153542097,name,Lake Forest,regular
153542097,is_in,"Orleans,Louisiana,La.,LA,USA",regular
153542097,place,hamlet,regular
153542097,id,558866,gnis
153542097,Class,Populated Place,gnis
153542097,County,Orleans,gnis
153542097,ST_num,22,gnis
153542097,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153542097,ST_alpha,LA,gnis
153542097,County_num,071,gnis
153554082,ele,2,regular
153554082,name,Hi-Land,regular
153554082,is_in,"St. Bernard,Louisiana,La.,LA,USA",regular
153554082,place,hamlet,regular
153554082,id,560959,gnis
153554082,Class,Populated Place,gnis
153554082,County,St. Bernard,gnis
153554082,ST_num,22,gnis
153554082,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153554082,ST_alpha,LA,gnis
153554082,County_num,087,gnis
153568469,ele,5,regular
153568469,name,Cadillac Park,regular
153568469,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153568469,place,hamlet,regular
153568469,id,1628875,gnis
153568469,Class,Populated Place,gnis
153568469,County,St. Tammany,gnis
153568469,ST_num,22,gnis
153568469,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153568469,ST_alpha,LA,gnis
153568469,County_num,103,gnis
153582287,ele,1,regular
153582287,name,Jackson Landing,regular
153582287,is_in,"Hancock,Mississippi,Miss.,MS,USA",regular
153582287,place,hamlet,regular
153582287,id,691962,gnis
153582287,Class,Populated Place,gnis
153582287,County,Hancock,gnis
153582287,ST_num,28,gnis
153582287,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153582287,ST_alpha,MS,gnis
153582287,County_num,045,gnis
153593787,ele,1,regular
153593787,name,Chamale Cove,regular
153593787,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153593787,place,hamlet,regular
153593787,id,1628882,gnis
